銀行名稱,結帳日,繳款日
台新 Richart 卡 & FlyGo 卡,2,17
一銀 iLeo 卡,5,20
聯邦賴點卡 & 幸福 M 卡,9,24
中信英雄聯名卡 & uniopen 聯名卡,12,1
富邦 J 卡 & 勇悍將士聯名卡,18,3
永豐 DEWAY 卡,18,2
星展英雄對決聯名卡,20,9
國泰 CUBE 卡,23,9
玉山 U Bear 卡,25,10
